ReadingID;Lines;Lon;VehicleNumber;Time;Lat;Brigade
3;211;21.015053;9065;2024-02-16 22:01:49;52.318092;010
3;N03;21.015123;9066;2024-02-17 19:49:13;52.318073;5
3;211;21.01512;9067;2024-02-16 20:10:19;52.318024;08
3;204;21.004129;9068;2024-02-19 03:42:44;52.230431;M63
3;N03;21.054937;9069;2024-02-19 03:42:34;52.247093;1
3;176;21.0162372;9070;2024-02-19 01:03:00;52.3184822;61
3;176;21.013624;9071;2024-02-19 03:42:46;52.297474;62
3;161;21.016302;9072;2024-02-19 03:42:44;52.318489;2
3;204;21.014933;9073;2024-02-19 00:14:52;52.318039;71
3;204;21.0148901;9074;2024-02-19 02:39:38;52.3180407;72
3;104;21.01638;9075;2024-02-19 03:42:47;52.318512;2
3;121;21.016129;9076;2024-02-18 05:01:27;52.318432;M3
3;211;21.015085;9077;2024-02-18 23:57:12;52.318123;457
3;211;21.0161787;9078;2024-02-18 20:03:36;52.3185729;3
3;211;21.014986;9079;2024-02-18 21:14:39;52.318058;459
3;211;20.947149;9080;2024-02-12 21:33:30;52.332153;010
3;511;21.015114;9081;2024-02-19 02:00:33;52.318119;456
3;511;21.014925;9082;2024-02-19 00:38:47;52.318092;458
3;211;21.0161657;9083;2024-02-18 23:12:59;52.3184542;455
3;234;21.015049;9084;2024-02-18 23:25:32;52.318058;1
3;N03;21.0476;9086;2024-02-19 03:42:42;52.189491;5
3;104;21.016108;9087;2024-02-15 13:13:03;52.318542;2
3;161;21.015041;9088;2024-02-16 21:54:29;52.318043;03
3;234;21.014933;9089;2024-02-18 23:52:06;52.317974;2
3;211;21.0163532;9090;2024-02-16 22:06:19;52.3184932;011
3;332;21.01609;9092;2024-02-16 11:29:00;52.318398;1
3;161;21.015047;9093;2024-02-19 01:20:35;52.318062;2
3;234;21.015213;9094;2024-02-18 22:46:31;52.318466;3
3;196;20.883354;9201;2024-02-19 03:42:43;52.2069338;M1
3;107;20.919782;9202;2024-02-19 03:42:47;52.221076;0
3;221;20.8832258;9203;2024-02-19 03:42:47;52.2071115;1
3;164;20.8825993;9204;2024-02-19 03:42:46;52.2071174;2
3;107;21.0486194;9205;2024-02-19 03:42:43;52.2747115;2
3;107;20.8819219;9206;2024-02-19 03:42:43;52.2082191;5
3;201;20.883097;9207;2024-02-19 03:42:45;52.2063003;05
3;133;20.8826618;9208;2024-02-19 03:42:43;52.207467;2
3;N13;20.8825349;9210;2024-02-19 03:42:43;52.2073198;348
3;107;20.8832218;9211;2024-02-19 03:42:45;52.207083;6
3;164;20.8831661;9212;2024-02-19 03:42:46;52.207292;3
3;164;20.8832178;9214;2024-02-19 03:42:44;52.2071541;2
3;203;20.882803;9215;2024-02-19 03:42:42;52.207236;03
3;201;20.882491;9219;2024-02-19 03:42:46;52.2074799;2
3;201;20.8820405;9220;2024-02-19 03:42:47;52.2075798;M3
3;239;20.8827093;9226;2024-02-19 03:42:37;52.2069211;574
3;264;20.8823973;9227;2024-02-19 03:42:48;52.2075181;1
3;209;20.8825927;9228;2024-02-19 03:42:43;52.2072804;572
3;196;20.882264;9229;2024-02-19 03:42:44;52.2079545;M2
3;107;20.882928;9230;2024-02-19 03:42:43;52.2072861;5
3;210;20.8825671;9231;2024-02-19 03:42:45;52.2073449;471
3;N50;21.1034675;9232;2024-02-19 03:42:44;52.1211861;1
3;210;20.883762;9242;2024-02-19 03:42:46;52.206411;472
3;169;20.8821156;9245;2024-02-19 03:42:45;52.2080361;1
3;203;20.8839633;9251;2024-02-19 03:42:43;52.2057545;1
3;133;20.8830767;9252;2024-02-19 03:42:43;52.2071671;2
3;107;20.882361;9253;2024-02-19 03:42:45;52.2074983;1
3;153;21.0779719;9301;2024-02-18 20:59:08;52.2686459;2
3;739;21.042177;9302;2024-02-19 03:41:58;52.239128;6
3;142;21.077202;9303;2024-02-17 03:25:23;52.268272;1
3;147;21.1447164;9304;2024-02-16 14:21:55;52.1994122;010
3;142;21.0776202;9305;2024-02-18 21:02:06;52.2689114;4
3;102;21.077246;9311;2024-02-19 02:10:28;52.268127;581
3;102;21.077026;9312;2024-02-19 02:17:36;52.26828;582
3;102;21.0775604;9313;2024-02-18 22:34:36;52.2684464;583
3;196;21.078102;9314;2024-02-19 03:42:42;52.268555;03
3;202;21.0775167;9315;2024-02-19 01:27:04;52.2683254;585
3;202;21.077295;9316;2024-02-19 01:51:56;52.26852;586
3;135;21.07806;9317;2024-02-17 19:22:44;52.26857;4
3;102;21.077635;9318;2024-02-18 22:27:20;52.268421;587
3;179;21.077999;9319;2024-02-18 08:50:18;52.268581;5
3;179;21.07732;9320;2024-02-19 02:08:01;52.268665;8
3;N03;21.077557;9321;2024-02-18 22:31:24;52.268482;4
3;135;21.077688;9322;2024-02-19 00:19:06;52.268879;3
3;N02;21.077496;9323;2024-02-19 03:42:43;52.268547;1
3;135;21.077768;9324;2024-02-19 00:25:34;52.268742;4
3;147;21.153973;9325;2024-02-19 03:42:42;52.22612;06
3;N03;21.0357912;9326;2024-02-18 23:46:16;52.1679591;4
3;142;21.077335;9327;2024-02-19 02:35:19;52.268627;3
3;142;21.121138;9328;2024-02-18 19:36:57;52.236691;4
3;145;21.077148;9329;2024-02-19 02:15:18;52.268208;469
3;N02;21.156111;9330;2024-02-19 03:42:42;52.240433;2
3;135;21.077732;9331;2024-02-19 02:20:02;52.267941;1
3;135;21.093386;9332;2024-02-19 03:42:40;52.260456;2
3;179;21.077391;9333;2024-02-19 01:16:00;52.268463;52
3;199;21.077414;9334;2024-02-19 00:27:35;52.268608;51
3;179;21.077524;9335;2024-02-19 01:06:32;52.268379;4
3;N03;21.0727676;9336;2024-02-19 01:37:11;52.2459751;6
3;135;21.0774934;9337;2024-02-18 00:38:44;52.2690479;3
3;198;21.077391;9338;2024-02-19 01:24:23;52.268482;2
3;199;21.077045;9339;2024-02-19 02:23:40;52.26841;53
3;198;21.223759;9340;2024-02-19 03:42:45;52.253857;3
3;179;21.077766;9341;2024-02-17 22:21:37;52.268803;52
3;153;21.077814;9342;2024-02-18 00:10:37;52.268799;3
3;156;21.07766;9343;2024-02-18 11:40:25;52.268936;5
3;202;21.077524;9344;2024-02-19 03:42:38;52.267902;584
3;245;21.077257;9345;2024-02-19 02:11:10;52.268642;52
3;153;21.084787;9346;2024-02-19 03:42:46;52.260487;2
3;153;21.077429;9347;2024-02-19 00:31:45;52.268558;3
3;N02;21.050947;9348;2024-02-19 03:42:47;52.252571;1
3;179;21.077;9349;2024-02-19 02:19:05;52.268349;3
3;179;21.0639215;9350;2024-02-18 11:41:56;52.1417339;4
3;179;21.0775944;9351;2024-02-19 01:09:52;52.2682885;6
3;179;21.077635;9352;2024-02-19 03:42:43;52.267677;7
3;199;21.13941;9353;2024-02-19 03:42:45;52.259914;54
3;156;21.077686;9354;2024-02-18 22:21:20;52.268875;5
3;739;21.0445789;9355;2024-02-16 04:55:03;52.0992821;6
3;198;21.077753;9356;2024-02-19 03:42:41;52.26796;04
3;N02;21.077513;9357;2024-02-19 00:26:47;52.268475;2
3;739;21.019459;9358;2024-02-19 03:42:47;52.172283;3
3;198;21.077621;9359;2024-02-18 07:21:43;52.268299;1
3;176;21.015274;9402;2024-02-17 19:58:32;52.318958;2
3;516;21.016027;9403;2024-02-17 21:50:54;52.318687;1
3;516;21.015717;9404;2024-02-17 19:39:37;52.319084;5
3;516;21.01545;9405;2024-02-19 01:37:16;52.318634;2
3;103;21.015942;9411;2024-02-18 22:19:21;52.318829;1
3;103;21.014845;9412;2024-02-18 21:23:51;52.318836;2
3;103;21.015841;9413;2024-02-18 08:01:46;52.318645;6
3;103;21.015854;9414;2024-02-18 23:12:46;52.318768;5
3;103;21.015022;9415;2024-02-18 22:46:21;52.318954;6
3;152;21.015497;9416;2024-02-19 03:42:38;52.319038;2
3;N01;21.036921;9417;2024-02-19 03:42:46;52.16198;5
3;117;21.016079;9418;2024-02-18 21:47:12;52.318851;1
3;117;21.015192;9419;2024-02-19 03:42:06;52.319046;1
3;516;21.015503;9420;2024-02-19 03:42:46;52.318535;1
3;134;21.015177;9421;2024-02-18 20:33:38;52.319;1
3;134;21.015911;9422;2024-02-18 23:05:30;52.318844;3
3;134;21.015827;9423;2024-02-19 00:28:24;52.318771;4
3;152;21.016108;9424;2024-02-18 21:42:18;52.318703;1
3;152;21.015512;9425;2024-02-19 01:52:05;52.318478;3
3;N14;21.037949;9426;2024-02-19 03:42:22;52.267414;124
3;157;21.015808;9427;2024-02-19 00:57:15;52.31863;2
3;103;21.015728;9428;2024-02-19 01:08:29;52.318478;3
3;157;21.014936;9429;2024-02-18 21:23:15;52.318874;3
3;157;21.01498;9430;2024-02-18 21:17:33;52.318859;5
3;117;21.014393;9431;2024-02-19 03:42:43;52.3181;2
3;157;21.015722;9432;2024-02-19 00:36:59;52.318707;6
3;152;21.015608;9433;2024-02-19 01:08:49;52.318672;4
3;240;21.0152972;9434;2024-02-19 00:24:45;52.3190337;1
3;516;21.01601;9435;2024-02-18 22:19:50;52.31871;1
3;157;21.015755;9436;2024-02-17 19:23:54;52.319119;6
3;516;21.01557;9437;2024-02-19 01:49:06;52.318645;3
3;240;21.015141;9438;2024-02-18 20:46:27;52.318935;M3
3;157;21.015007;9439;2024-02-19 02:25:59;52.318031;4
3;256;21.015713;9440;2024-02-19 01:04:58;52.318584;1
3;N01;20.994604;9441;2024-02-19 03:42:45;52.196457;6
3;134;21.015781;9442;2024-02-19 00:35:57;52.318779;2
3;152;21.015524;9443;2024-02-18 20:14:58;52.319061;3
3;240;21.015497;9444;2024-02-19 01:34:02;52.318684;2
3;743;21.015646;9445;2024-02-19 01:07:38;52.318676;492
3;103;21.015692;9446;2024-02-19 01:08:34;52.318581;4
3;117;21.015339;9447;2024-02-19 00:07:38;52.319015;3
3;516;21.015572;9448;2024-02-18 23:02:51;52.319122;4
3;N14;21.015472;9449;2024-02-17 20:37:41;52.319004;124
3;152;21.015818;9450;2024-02-18 22:43:26;52.31871;1
3;N91;20.926184;9451;2024-02-19 03:42:42;52.280697;181
3;N46;20.946764;9452;2024-02-19 03:42:41;52.293552;1
3;134;21.015753;9453;2024-02-19 00:37:11;52.318607;1
3;103;21.015598;9454;2024-02-19 01:23:03;52.318527;6
3;N64;20.981182;9455;2024-02-19 03:42:47;52.355301;1
3;516;21.015667;9456;2024-02-18 20:07:55;52.319077;4
3;157;21.015665;9457;2024-02-19 00:41:17;52.318741;3
3;256;21.0153809;9458;2024-02-19 01:56:27;52.3186484;2
3;N64;21.003563;9459;2024-02-19 03:42:45;52.229557;2
3;141;21.117488;946;2024-02-19 00:04:36;52.233803;5
3;194;20.8823715;9501;2024-02-17 18:46:39;52.207711333;06
3;714;20.883758167;9502;2024-02-19 01:22:26;52.206743167;862
3;719;20.883826833;9503;2024-02-17 18:43:02;52.2063395;662
3;159;20.882288;9505;2024-02-18 18:31:21;52.207780333;3
3;311;20.883924167;9506;2024-02-17 03:59:28;52.206442167;04
3;714;20.882236167;9507;2024-02-18 18:40:18;52.207735333;651
3;707;20.882446;9508;2024-02-19 03:42:47;52.207473333;02
3;178;20.8834875;9509;2024-02-19 02:23:24;52.206033333;3
3;220;20.882472167;9510;2024-02-19 00:12:34;52.207772667;09
3;255;20.883609;9511;2024-02-19 01:35:21;52.206605333;1
3;715;21.001561167;9512;2024-02-19 03:42:45;52.177995333;54
3;159;20.8836635;9513;2024-02-19 01:19:48;52.206809333;1
3;178;20.883073833;9514;2024-02-18 22:48:25;52.206788667;1
3;719;20.835143667;9515;2024-02-19 03:42:44;52.2313905;662
3;N03;20.984243333;9516;2024-02-19 03:42:47;52.307065667;2
3;311;20.883024833;9517;2024-02-18 17:34:44;52.2065085;05
3;169;20.883852333;9518;2024-02-19 00:46:33;52.206618667;1
3;159;20.883662667;9519;2024-02-19 00:21:04;52.206630333;2
3;159;20.883652167;9520;2024-02-19 02:22:12;52.206108167;3
3;N02;21.052962167;9522;2024-02-19 03:42:46;52.253879833;3
3;715;20.883363167;9523;2024-02-19 02:29:32;52.205985167;55
3;743;20.802812333;9524;2024-02-19 03:42:46;52.210271833;3
3;194;20.883312333;9525;2024-02-18 22:59:44;52.206728167;64
3;220;20.882332833;9526;2024-02-17 18:43:13;52.207575833;07
3;715;20.883252167;9527;2024-02-18 18:50:35;52.206664667;51
3;185;20.883197833;9528;2024-02-16 07:24:35;52.206670167;09
3;194;20.883158167;9529;2024-02-19 03:09:33;52.2065925;3
3;159;20.883685333;9530;2024-02-19 02:56:33;52.205909167;5
3;707;20.8825065;9531;2024-02-17 18:46:11;52.20766;02
3;715;20.883607333;9532;2024-02-19 01:38:22;52.206627667;51
3;149;20.883734;9533;2024-02-19 02:44:42;52.205885167;654
3;220;20.883859667;9534;2024-02-17 11:53:53;52.206390333;08
3;220;20.883658667;9535;2024-02-12 08:42:58;52.206922167;6
3;724;20.883773;9536;2024-02-19 03:42:41;52.206534833;1
3;255;20.883657667;9537;2024-02-19 02:52:56;52.205799167;1
3;712;20.883827333;9539;2024-02-16 23:35:49;52.206335833;02
3;714;20.883621;9540;2024-02-19 02:13:52;52.206186333;653
3;194;20.883504;9541;2024-02-16 04:42:32;52.206810333;4
3;737;20.883515667;9542;2024-02-19 01:29:32;52.206683667;52
3;719;20.883059333;9543;2024-02-19 03:08:59;52.206557167;651
3;149;20.883865167;9545;2024-02-18 22:52:35;52.2065175;654
3;737;20.884698;9547;2024-02-19 03:42:42;52.205777;09
3;194;20.883589833;9548;2024-02-19 02:40:17;52.206026333;1
3;194;20.882397167;9549;2024-02-16 20:44:13;52.207708167;09
3;194;20.8835355;9550;2024-02-16 07:30:56;52.2068315;06
3;737;20.883905333;9551;2024-02-16 23:28:19;52.206404667;057
3;715;20.883533667;9552;2024-02-19 02:14:18;52.206167833;53
3;737;20.883537667;9553;2024-02-19 02:53:01;52.205838833;54
3;714;20.8830215;9554;2024-02-18 18:56:50;52.206722333;651
3;178;20.883133667;9555;2024-02-19 03:07:18;52.206527833;4
3;707;20.883011;9556;2024-02-19 03:14:56;52.2065265;1
3;159;20.883917;9557;2024-02-17 22:52:16;52.2065365;7
3;715;20.882906;9558;2024-02-18 22:48:50;52.206660833;058
3;178;20.883828667;9559;2024-02-19 01:41:43;52.206615667;5
3;178;20.883131167;9560;2024-02-18 18:51:11;52.206707833;3
3;712;20.883377167;9561;2024-02-19 02:19:16;52.206073;671
3;212;21.01396;9671;2024-02-17 18:55:43;52.318199;2
3;226;21.014715;9672;2024-02-19 00:03:10;52.318485;2
3;212;21.01512;9675;2024-02-17 11:16:24;52.31847;2
3;156;21.014793;9678;2024-02-19 00:27:53;52.318504;4
3;226;21.014795;9679;2024-02-18 23:44:38;52.318386;1
3;705;21.014837;9685;2024-02-19 00:31:42;52.318501;67
3;156;21.01498;9686;2024-02-18 23:17:10;52.318428;2
3;156;21.014851;9687;2024-02-19 00:41:30;52.318539;3
3;156;21.0138064;9689;2024-02-18 23:09:05;52.3186047;4
3;705;21.014666;9690;2024-02-18 18:18:43;52.318455;68
3;156;21.014942;9693;2024-02-18 23:27:50;52.318428;5
3;226;21.0149;9694;2024-02-18 23:36:25;52.318401;3
3;226;21.013668;9696;2024-02-18 18:30:47;52.318554;1
3;705;21.014898;9697;2024-02-19 03:42:44;52.318554;68
3;156;21.015007;9698;2024-02-18 23:11:21;52.318504;1
3;110;21.0147284;9699;2024-02-19 01:46:55;52.3183162;1
3;131;20.8829041;9801;2024-02-19 03:42:44;52.20739;014
3;185;20.88334;9802;2024-02-19 03:42:45;52.20617;4
3;185;20.883217;9803;2024-02-19 03:42:47;52.20601;6
3;167;20.88313;9804;2024-02-19 03:42:45;52.2069245;6
3;719;20.883347;9805;2024-02-19 03:42:46;52.2062073;2
3;131;20.882844;9806;2024-02-18 21:00:10;52.20739;1
3;131;20.88379;9807;2024-02-19 03:42:43;52.205704;015
3;167;20.88271;9808;2024-02-19 03:42:46;52.207627;12
3;131;20.85963;9809;2024-02-16 15:08:03;52.11625;016
3;185;20.89277;9810;2024-02-19 03:42:43;52.20395;013
3;131;20.88354;9811;2024-02-19 03:42:43;52.20594;3
3;185;20.883713;9812;2024-02-19 03:42:43;52.205674;3
3;169;20.883385;9813;2024-02-19 03:42:45;52.206574;1
3;167;20.8833542;9814;2024-02-19 03:42:43;52.20658;4
3;167;20.882622;9815;2024-02-19 03:42:44;52.20763;3
3;169;20.8822785;9816;2024-02-19 03:42:43;52.207749;1
3;169;20.883622;9817;2024-02-19 03:42:44;52.20603;1
3;742;20.88334;9818;2024-02-19 03:42:43;52.2062;1
3;167;20.883843;9819;2024-02-19 03:42:46;52.20569;5
3;185;20.88332;9820;2024-02-19 03:42:45;52.20618;5
3;171;20.882615;9821;2024-02-19 03:42:46;52.207718;00
3;185;20.883462;9822;2024-02-19 03:42:44;52.20643;3
3;710;20.883347;9823;2024-02-19 03:42:43;52.20607;3
3;185;20.882691;9824;2024-02-19 03:42:47;52.2075;013
3;185;20.883507;9825;2024-02-19 03:42:13;52.20601;5
3;185;20.8829;9826;2024-02-19 03:42:43;52.20746;12
3;185;20.882737;9827;2024-02-19 03:42:48;52.20754;6
3;185;20.88358;9828;2024-02-19 03:42:43;52.20649;7
3;710;20.88366;9829;2024-02-19 03:42:44;52.20577;2
